Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Data analyst,,Analytical and problem-solving skills,Communication skills,Data management,"Data modelling, data cleansing, and data enrichment skills",Data visualisation,Logical and creative thinking skills,Project management skills,Proven IT and mathematical skills,"Quality assurance, validation and data linkage abilities",Statistical methods and data analysis skills,,,,,,,"A data analyst collects, organises and studies data to provide business insight. In this role, you will:

• apply tools and techniques for data analysis and data visualisation (including the use of business information tools)
• identify, collect and migrate data to and from a range of systems
• manage, clean, abstract and aggregate data alongside a range of analytical studies on that data
,Performance analyst,,Communicating analysis and insight,Performance measurement,Technical understanding (performance analyst),Understanding analysis across the product life cycle,Understanding constraints (performance analyst),Undertaking analysis and providing insight,User-centred analysis,Verification and validation of data and analysis,,,,,,,,,"A performance analyst conducts analysis. In this role, you will develop performance measurement frameworks - key performance indicators (KPIs), goals, user needs and benefits - and analyse the performance of a service or product against these, adapting your approach and framework appropriately and in line with any changes.",,,,,,,,
,,Associate performance analyst,Working,Awareness,Awareness,Awareness,Awareness,Working,Awareness,Awareness,,,,,,,,,"An associate performance analyst is a numerate entry-level role for those with some experience in analysis or data handling. At this level, you should:

• have the aptitude to learn to use analytical tools and produce standardised reports and charts
• start by working on projects with limited scope under the guidance of performance analysts and more senior role levels, replicating existing analysis and data techniques
• progress to greater independence (where appropriate)
• have the opportunity to develop an understanding of the wider analytics context, tools and techniques
• be responsible for the accuracy and quality of data and analysis, and how they are used
• engage with the performance analysis community",,2,,AUTY(2),INFL(2),COMP(2),KNGE(3),BUSS(2)
,,Performance analyst,Working,Working,Working,Working,Working,Practitioner,Working,Working,,,,,,,,,"A performance analyst has a strong understanding of a wide range of sources and analytical tools needed for the project they are working on. At this level, you:

• are responsible for the performance analysis in your given area and help the project team measure and assess outcomes: for example, what good looks like and how it will be measured
• help to plan and ensure project delivery, finding opportunities to share information with the project team, community colleagues and others
• work independently, although you know to seek guidance when necessary
• are adaptable in applying analysis techniques to new contexts, especially when acting as the sole representative for performance analysts on a project
• are able to create a performance measurement framework for a project with the wider team, including identifying reporting requirements, advising on procurement, implementation and validation of tools to deliver against these requirements
• are responsible for the accuracy and quality of data and analysis and how they are used
• are engaged with, and actively contribute to, the performance analysis community",,3,,AUTY(3),INFL(3),COMP(3),KNGE(3),BUSS(3)
,,Senior performance analyst,Practitioner,Practitioner,Practitioner,Practitioner,Practitioner,Practitioner,Practitioner,Practitioner,,,,,,,,,"A senior performance analyst looks to delegate, automate or up-skill others in analysis where possible and appropriate, provide leadership within their team and proactively use analysis to improve services. At this level, you:

• may manage one or more performance analysts
• are proficient in a wide range of tools and ensure that the team is equipped with the required skills according to the strategy set out by the head of performance analysis
• are skilled and experienced at carrying out the day-to-day activities of a performance analyst, including setting up performance measurement frameworks, while also carrying out increasingly complex analysis working with other teams where necessary
• actively contribute to the performance analysis community within their department or organisation, while forging links with other analytical disciplines",,4,,AUTY(4),INFL(4),COMP(4),KNGE(4),BUSS(4)
,,Lead performance analyst,Expert,Expert,Expert,Expert,Expert,Expert,Expert,Expert,,,,,,,,,"A lead performance analyst manages junior performance analysts at any level, coordinating teams or groups of related analysts. At this level, you will:

• assist, take forward and influence the strategy as determined by the head of performance analysis, including data implementation and data architecture
• remove blockers and act as an escalation point for important issues
• be an ambassador for analytics across communities, departments and government
• be responsible for the accuracy and quality of data, analysis and how they are used
• proactively share knowledge and promote a data-driven culture as a leader in the community
• coach and mentor senior performance analysts, performance analysts and associate performance analysts",,5,,AUTY(5),INFL(5),COMP(5),KNGE(5),BUSS(5)
,,Head of performance analysis,Expert,Expert,Expert,Expert,Expert,Practitioner,Expert,Expert,,,,,,,,,"The head of performance analysis leads the performance analysis community, acting as the point of contact between the community and the business. At this level, you will:

• remove blockers and act as an escalation point for important issues
• set the performance analysis strategy with input from lead and senior performance analysts
• be responsible for defining a framework for quality assurance within performance analysis
• champion performance analysis and performance analysts, working with colleagues across government and other digital, data and technology (DDaT) communities and analytical professions
• manage the organisation’s performance analysis capability through business planning, development and recruitment",,6,,AUTY(6),INFL(6),COMP(6),KNGE(6),BUSS(6)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT operations,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Application operations engineer,,Asset and configuration management,Availability and capacity management,Change management,Continual service improvement,Incident management,Ownership and initiative,Problem management,Service focus,Service Management Framework knowledge,Technical specialism,Technical understanding,Testing,User focus,,,,"An application operations engineer supports, manages and maintains a single application or a suite of applications.",,,,,,,,
,,Associate application operations engineer,Awareness,Awareness,Awareness,Awareness,,,,,,,,,,,,,"As a trainee, you will work in an established team and support application operations engineers in their daily work, under their direction.",,2,,AUTY(2),INFL(2),COMP(2),KNGE(2),BUSS(2)
,,Application operations engineer,Working,Working,Awareness,Awareness,Awareness,Working,Awareness,Working,Awareness,Awareness,Awareness,Awareness,Working,,,,"An application operations engineer maintains services and is responsible for conducting user and security administration. At this level, you will:

• monitor applications and are accountable for batch processes
• in some organisations, carry out the duties of an end user computing engineer, such as fixing technical problems, maintaining hardware and liaising with the problem or incident manager",,3,,AUTY(3),INFL(3),COMP(3),KNGE(3),BUSS(3)
,,Senior application operations engineer,Working,Working,Working,Working,Working,Working,Working,Working,Awareness,Working,Working,Working,Working,,,,"Dealing with more complex issues, a senior application operations engineer is responsible for code deployment and coordinating change-based activities such as taking services live. Depending on the complexity and size of a project and the likely impact it will have on the business, you might manage and maintain certain aspects of an application.",,4,,AUTY(4),INFL(4),COMP(4),KNGE(4),BUSS(4)
,,Lead application operations engineer,Working,Working,Practitioner,Working,Practitioner,Practitioner,Working,Working,Working,Practitioner,Working,Practitioner,Practitioner,,,,"A lead application operations engineer defines the application strategy and the strategy for security administration. At this level, you:

• will liaise with leads within IT operations on how applications are performing and changes that need to be put in place
• may manage and maintain certain aspects of an application depending on the complexity and size of a project and the likely impact it will have on the business",,5,,AUTY(5),INFL(5),COMP(5),KNGE(5),BUSS(5)
,,Principal application operations engineer,Practitioner,Practitioner,Practitioner,Practitioner,Practitioner,Practitioner,Practitioner,Practitioner,Practitioner,Expert,Practitioner,Expert,Practitioner,,,,"A principal application operations engineer owns the application strategy and leads on the resourcing and learning and development for their team. At this level, you will have expert technical understanding and will be accountable for vendor and supplier management.

Depending on the complexity and size of a project and the likely impact it will have on the business, you may also manage and maintain certain aspects of an application.",,6,,AUTY(6),INFL(6),COMP(5),KNGE(6),BUSS(6)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Business relationship manager,,Asset and configuration management,Business analysis (IT operations),Continual service improvement,Ownership and initiative,Relationship management,Service focus,Service Management Framework knowledge,Service reporting,Strategic thinking,Technical understanding,User focus,,,,,,A business relationship manager is responsible for acting as the liaison between the business and a selected customer group within a department to understand the operational and developmental needs of the business.,,,,,,,,
,,Business relationship manager,Awareness,Working,Working,Working,Practitioner,Working,Awareness,Working,Working,Working,Working,,,,,,"A business relationship manager is responsible for the day-to-day relationships with business stakeholders, ensuring consistency in engagement across the business. At this level, you will:

• act as translators and mediators between IT operations and the business
• be the single point of contact for the business",,4,,AUTY(4),INFL(4),COMP(4),KNGE(4),BUSS(4)
